GEOTYPE|ST|GEOCOMP|GEO_ID|GEO_TTL|GEO_ID_F|NAICS2017|NAICS2017_TTL|NAICS2017_F|SECTOR|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|EMPQ1PW|EMPQ1PW_F|EMPQ2PW|EMPQ2PW_F|EMPQ3PW|EMPQ3PW_F|EMPQ4PW|EMPQ4PW_F|HOURS|HOURS_F|PAYANPW|PAYANPW_F|CSTMTOT|CSTMTOT_F|CSTMPRT|CSTMPRT_F|CSTRSL|CSTRSL_F|CSTFU|CSTFU_F|CSTELEC|CSTELEC_F|CSTCNT|CSTCNT_F|ELECPCH|ELECPCH_F|ELECGEN|ELECGEN_F|ELECSLD|ELECSLD_F|VALADD|VALADD_F|INVTOTB|INVTOTB_F|INVFINB|INVFINB_F|INVWIPB|INVWIPB_F|INVMATB|INVMATB_F|INVTOTE|INVTOTE_F|INVFINE|INVFINE_F|INVWIPE|INVWIPE_F|INVMATE|INVMATE_F|RPTOT|RPTOT_F|RPBLD|RPBLD_F|RPMCH|RPMCH_F|PCHTT|PCHTT_F|PCHTEMP|PCHTEMP_F|PCHCMPQ|PCHCMPQ_F|PCHEXSO|PCHEXSO_F|PCHDAPR|PCHDAPR_F|PCHCSVC|PCHCSVC_F|PCHRPR|PCHRPR_F|PCHRFUS|PCHRFUS_F|PCHADVT|PCHADVT_F|PCHPRTE|PCHPRTE_F|PCHTAX|PCHTAX_F|PCHOEXP|PCHOEXP_F
01|00|00|0100000US|United States||312120|Breweries||31|2017|3211||3303||30114222||2802270||629758||62308||30805||31449||31699||31726||55405||1548499||11070504||10316965||373759||123068||205851||50861||2520433||29711||0|D|19162090||1109182||436049||284880||388253||1393592||517822||321479||554291||398159||317390||80769||1947746||51587||15032||8747||8624||19691||121382||125665||118922||89936||273856||1114304|
01|00|00|0100000US|United States||31213|Wineries||31|2017|3574||3709||20632708||2646939||612470||49524||19758||20378||22849||21264||37160||956917||7736165||6897528||596149||38961||113140||90387||793990||14846||0|D|13405565||12912414||5019849||7094834||797731||13372163||5551750||7071955||748458||310640||238686||71954||2343915||126392||14415||23302||16943||59683||137045||38915||176324||206793||195708||1348395|
01|00|00|0100000US|United States||312130|Wineries||31|2017|3574||3709||20632708||2646939||612470||49524||19758||20378||22849||21264||37160||956917||7736165||6897528||596149||38961||113140||90387||793990||14846||0|D|13405565||12912414||5019849||7094834||797731||13372163||5551750||7071955||748458||310640||238686||71954||2343915||126392||14415||23302||16943||59683||137045||38915||176324||206793||195708||1348395|
01|00|00|0100000US|United States||31214|Distilleries||31|2017|761||783||12664061||695116||154997||11055||7125||7225||7392||7449||14655||373856||3679709||3291882||293760||30808||29666||33593||374351||0|D|0|D|8820308||3051831||1657593||1075281||318957||2896590||1497113||1071717||327760||70025||51285||18740||572169||42984||2938||1955||2491||5770||42042||19470||123120||33509||90767||207123|
01|00|00|0100000US|United States||312140|Distilleries||31|2017|761||783||12664061||695116||154997||11055||7125||7225||7392||7449||14655||373856||3679709||3291882||293760||30808||29666||33593||374351||0|D|0|D|8820308||3051831||1657593||1075281||318957||2896590||1497113||1071717||327760||70025||51285||18740||572169||42984||2938||1955||2491||5770||42042||19470||123120||33509||90767||207123|
01|00|00|0100000US|United States||3122|Tobacco manufacturing||31|2017|136||161||47534610||907018||255481||13235||9652||9563||10591||10883||18819||481463||8089573||7823042||94706||37729||63946||70150||905860||0|D|0||39440775||4544947||1165499||256807||3122641||4526346||1155144||262900||3108302||30809||20189||10620||721449||35172||6577||4147||5248||4197||64296||18219||23230||178659||63615||318089|
01|00|00|0100000US|United States||31223|Tobacco manufacturing||31|2017|136||161||47534610||907018||255481||13235||9652||9563||10591||10883||18819||481463||8089573||7823042||94706||37729||63946||70150||905860||0|D|0||39440775||4544947||1165499||256807||3122641||4526346||1155144||262900||3108302||30809||20189||10620||721449||35172||6577||4147||5248||4197||64296||18219||23230||178659||63615||318089|
01|00|00|0100000US|United States||312230|Tobacco manufacturing||31|2017|136||161||47534610||907018||255481||13235||9652||9563||10591||10883||18819||481463||8089573||7823042||94706||37729||63946||70150||905860||0|D|0||39440775||4544947||1165499||256807||3122641||4526346||1155144||262900||3108302||30809||20189||10620||721449||35172||6577||4147||5248||4197||64296||18219||23230||178659||63615||318089|
01|00|00|0100000US|United States||313|Textile mills||31|2017|1759||1979||27905332||4027249||992471||93009||76034||76830||76772||76819||154924||2733944||16397788||14881820||482394||190505||606591||236478||9302849||0|D|7166||11484977||3050964||1329005||626138||1095821||3050749||1322581||609995||1118173||189450||152522||36928||1968561||265372||23448||16153||22014||29230||309918||128489||51211||134160||106968||881598|
01|00|00|0100000US|United States||3131|Fiber, yarn, and thread mills||31|2017|240||296||7226716||809063||200439||22244||19806||19625||19437||19484||39766||646771||4820782||4515928||31831||29457||231072||12494||3844246||0||0||2386264||582386||272073||81978||228335||552311||248943||85438||217930||28944||22928||6016||325514||50599||3950||1366||4343||5433||66670||21178||5932||14211||21929||129903|
